traits	lat	long
M94_library5|Human|MinasGerais_|ImbeDeMinas|13-01-2017	-19.595836	-41.998972
M79_library3|Primate_AllouataGuaribaClamitans|MinasGerais_AbreCampo|17-02-2017	-20.300134	-41.969322
M47_libraryY|Human|MinasGerais|Setubinha|19-01-2017	-17.609593	-41.934681
M9_library4|Monkey|MinasGerais_OuroFino|15-02-2017	-22.266837	-41.879941
M7_library2|Primate_Cebidae|MinasGerais_Delfinopolis|14-02-2017	-20.322395	-41.800441
M43_libraryY|Human|MinasGerais_Pote|18-01-2017	-17.808172	-41.800441
M83_library3|Primate_Callitrix|MinasGerais_Ladainha|09-02-2017	-17.598197	-41.800441
M5_library2|Primate_AllouataGuaribaClamitans|MinasGerais_SantaRitaDeCaldas|15-02-2017	-22.019582	-41.800441
M216_libraryX|Primate_CallicebusSp|MinasGerais_ZonaDaMata|25-01-2017	-20.420918	-41.800441
M217_libraryX|Primate_CebidaeSpp|MinaisGerais_NorteDeMinas|25-01-2017	-15.507141	-41.800441
M138_libraryX|Human|MinasGerais_SantaBarbaradoLeste|20-01-2017	-19.974822	-41.786433
M17_library1|Human|MinasGerais_Ladainha|14-01-2017	-17.598197	-41.683337
M100_library6|Human|MinasGerais|Ladainha|02-01-2017	-17.598197	-41.683337
M26_library5and6|Human|SaoCaetanoDoSul_Itambacuri_MinasGerais_Brazil|07-01-2017	-18.034092	-41.683337
M98_library6|Human|MinasGerais|TeofiloOtoni|10-01-2017	-17.860009	-41.683337
M99_library6|Human|MinasGerais|TeofiloOtoni|21-01-2017	-17.860009	-41.683337
M35_library3|Human|MinasGerais_TeofiloOtoni|20-01-2017	-17.860009	-41.509104
M36_library3|MinasGerais|NovoCruzeiro|14-01-2017	-17.432895	-41.509104
M73_library5|PrimateCebidae|MinasGerais_Aguanil|22-02-2017	-20.967174	-41.509104
M96_library5and6|Human|MinasGerais|Ladainha|19-01-2017	-17.598197	-41.509104
BC03_library5_48BC|RJ168|NHP|Divinopolis-MG|23-01-2017	-19.829017	-41.509104
BC13_library5_48BC|RJ143|NHP|BeloHorizonte-MG|24-01-2017	-18.221348	-41.509104
BC15_library5_48BC|RJ171|NHP|SaoRoqueMinas-MG|03-02-2017	-20.180363	-41.509104
BC30_library5_48BC|RJ148|Human|TeofiloOtoni-MG|24-01-2017	-17.860009	-41.135935
BC38_library5_48BC|RJ162|NHP|ChapadaGaucha-MG|23-01-2017	-15.569408	-40.872366
BC40_library5_48BC|RJ185|Human|SaoJoaoEvangelista-MG|22-01-2017	-18.496839	-40.65981
BC42_library5_48BC|RJ150|Human|TeofiloOtoni-MG|27-01-2017	-17.860009	-40.65981
BC50_library5_48BC|RJ163|NHP|Sacramento-MG|09-02-2017	-19.850234	-40.65981
BC62_library5_48BC|RJ164|NHP|Juatuba-MG|14-02-2017	-19.943241	-40.65981
BC64_library5_48BC|RJ157|Human|TeofiloOtoni-MG|05-02-2017	-17.860009	-40.431258
BC73_library5_48BC|RJ151|NHP|Itamarandiba-MG|13-01-2017	-17.857298	-40.431258
BC85_library5_48BC|RJ153|NHP|FelicianoDosSantos-MG|24-01-2017	-18.077954	-40.431258
MF170971|Monkey|MinasGerais_SaoRoqueDeMinas|NA|30-01-2017	-20.177911	-40.295777
